CVDs,RSP,NO2,SO2,O3
164.0,67.73,58.13,11.54,31.23
108.0,72.34,76.07,18.45,40.04
111.0,66.95,71.81,14.17,50.98
173.0,72.62,74.97,15.96,48.23
158.0,91.74,68.31,18.19,51.6
81.0,115.94,57.34,13.15,77.1
179.0,127.26,70.64,17.33,62.79
155.0,110.96,79.83,19.83,56.9
128.0,94.82,75.22,18.56,54.92
103.0,73.87,56.49,14.59,33.35
175.0,67.09,58.89,17.07,16.1
153.0,59.12,51.55,11.13,16.84
211.0,118.23,65.03,17.83,41.23
155.0,127.73,79.81,21.0,53.68
168.0,96.29,92.61,27.2,62.48
106.0,88.75,74.04,17.71,74.48
77.0,79.74,66.9,12.73,99.6
173.0,72.31,81.11,21.81,46.85
147.0,76.83,61.32,14.12,26.73
156.0,63.06,54.13,12.81,44.02
169.0,53.03,68.48,14.76,38.79
178.0,45.12,76.3,15.17,44.54
116.0,49.67,64.98,11.94,52.98
112.0,59.34,57.72,13.59,61.29
180.0,109.99,70.14,21.25,43.06
160.0,114.99,68.13,19.26,42.6
176.0,141.77,98.85,32.54,51.67
182.0,83.45,50.72,14.44,51.67
172.0,71.63,57.92,14.58,56.6
114.0,59.62,86.13,19.0,52.85
123.0,73.36,96.02,16.66,44.54
224.0,64.91,81.71,14.17,58.92
163.0,76.57,68.83,14.6,43.35
186.0,83.38,71.52,15.88,42.02
185.0,55.84,72.08,13.1,45.85
159.0,68.47,61.07,10.18,52.08
121.0,91.52,73.66,14.13,56.73
124.0,106.37,69.0,14.81,62.73
194.0,104.83,69.72,19.55,42.04
161.0,122.28,69.55,22.92,49.1
174.0,101.29,63.79,20.29,51.67
178.0,83.49,70.33,19.46,57.42
167.0,77.62,78.11,23.37,61.42
125.0,89.7,85.85,22.38,78.1
127.0,48.42,60.58,9.31,81.85
208.0,63.25,87.7,24.18,41.42
215.0,74.64,97.08,27.18,73.42
211.0,64.2,78.58,19.32,62.97
183.0,87.54,81.61,21.27,35.92
166.0,46.75,58.69,7.44,26.79
113.0,74.27,59.38,9.49,28.29
120.0,52.03,48.22,8.79,4.48
192.0,37.04,46.51,10.65,15.65
167.0,47.46,59.4,19.67,23.29
194.0,62.92,65.12,14.73,25.06
180.0,56.31,54.42,13.66,39.79
158.0,79.08,74.21,23.5,28.29
127.0,84.8,77.08,25.79,29.48
96.0,90.08,67.41,16.95,57.73
85.0,114.56,71.81,22.85,71.79
113.0,93.98,63.97,20.02,63.98
209.0,75.38,72.95,19.51,43.54
162.0,79.66,67.55,18.26,50.92
167.0,72.92,67.44,19.16,59.77
127.0,71.35,78.68,26.52,42.85
116.0,93.7,93.87,31.25,53.23
148.0,77.86,92.86,29.99,39.43
187.0,90.81,122.16,42.94,34.74
208.0,119.25,122.22,55.42,40.49
228.0,97.42,59.52,14.9,69.55
180.0,94.87,73.92,13.27,51.74
121.0,74.45,78.92,12.81,63.49
139.0,61.94,68.35,10.45,80.24
191.0,75.16,71.92,15.5,39.11
166.0,96.78,58.21,16.24,34.17
187.0,101.25,85.76,31.93,28.36
161.0,65.22,56.41,9.97,52.74
148.0,50.17,53.69,6.81,46.99
123.0,40.13,58.03,9.03,44.18
125.0,77.46,71.96,17.28,55.99
194.0,57.15,72.77,23.59,17.74
161.0,83.9,60.6,17.4,21.05
206.0,47.78,55.28,9.1,31.36
191.0,99.37,87.02,45.36,40.18
149.0,71.27,56.07,14.34,24.68
117.0,35.69,51.69,9.55,44.61
123.0,34.72,53.63,6.9,31.86
209.0,114.43,101.13,45.91,11.17
199.0,110.65,85.15,51.55,34.74
177.0,47.84,48.06,7.39,52.93
182.0,90.79,69.08,24.44,35.61
177.0,49.3,55.91,12.78,26.43
135.0,62.06,55.85,13.6,9.8
116.0,67.6,62.56,13.97,18.93
171.0,83.29,73.92,23.29,24.74
158.0,75.16,60.56,15.45,21.99
182.0,98.69,81.43,24.48,41.74
182.0,97.9,73.34,21.27,49.68
181.0,99.86,69.75,18.81,56.55
131.0,87.24,67.44,15.33,73.3
150.0,88.23,93.45,23.49,47.68
216.0,104.22,91.93,24.36,58.7
194.0,78.6,65.94,12.97,68.29
191.0,67.82,64.0,11.62,50.86
181.0,83.6,85.03,23.88,39.58
186.0,80.27,55.9,12.14,54.99
142.0,75.11,67.41,14.8,67.3
131.0,73.32,61.75,11.14,56.36
209.0,62.16,87.66,19.99,20.31
181.0,48.53,77.29,29.85,18.55
189.0,42.85,65.63,39.21,6.31
168.0,40.79,53.68,40.69,10.0
171.0,39.82,54.42,6.97,56.67
110.0,42.31,49.07,4.43,48.11
120.0,18.55,29.28,3.17,19.18
84.0,16.05,28.74,3.11,17.81
98.0,21.26,35.95,4.01,24.06
136.0,20.46,37.53,3.12,32.42
213.0,21.17,44.19,4.91,32.42
206.0,24.7,48.74,6.76,11.36
166.0,23.69,53.31,8.15,9.74
148.0,37.89,56.87,12.32,7.49
241.0,39.99,52.49,11.68,2.04
197.0,33.36,51.52,7.71,7.74
