Hokkaido,Aomori,Iwate,Miyagi,Akita,Yamagata,Fukushima,Ibaraki,Tochigi,Gunma,Saitama,Chiba,Tokyo,Kanagawa,Niigata,Toyama,Ishikawa,Fukui,Yamanashi,Nagano,Gifu,Shizuoka,Aichi,Mie,Shiga,Kyoto,Osaka,Hyogo,Nara,Wakayama,Tottori,Shimane,Okayama,Hiroshima,Yamaguchi,Tokushima,Kagawa,Ehime,Kochi,Fukuoka,Saga,Nagasaki,Kumamoto,Oita,Miyazaki,Kagoshima,Okinawa
1380,31,0,149,17,75,86,259,169,182,2142,1513,11610,2279,96,236,314,129,89,98,265,217,1289,78,157,708,3429,1059,212,134,8,29,65,281,50,16,46,89,80,1527,67,59,135,62,94,229,231
1385,31,2,153,17,75,87,268,185,183,2195,1562,11860,2349,98,236,316,135,89,102,295,233,1462,88,163,749,3650,1105,218,140,10,29,70,298,52,23,46,89,80,1628,70,61,156,62,106,232,275
1394,31,3,158,17,75,87,280,191,187,2252,1611,12227,2425,102,238,320,137,93,103,312,249,1629,89,168,758,3840,1158,225,142,11,29,75,306,52,24,46,89,80,1749,73,66,172,64,121,236,324
1409,32,4,160,17,76,89,294,195,190,2309,1646,12689,2478,110,238,321,139,96,105,331,272,1828,99,171,787,4056,1220,234,150,15,29,78,325,52,25,46,89,80,1918,80,74,190,66,141,252,395
1427,32,4,165,17,76,89,308,195,191,2383,1719,13161,2536,113,243,322,139,100,111,344,288,2009,110,179,809,4251,1252,253,163,16,29,85,342,57,26,46,92,80,2039,88,89,216,68,157,256,453
1436,32,4,168,17,76,89,322,199,192,2457,1770,13453,2608,115,244,323,140,102,117,351,306,2169,122,184,826,4445,1312,261,167,18,29,87,352,57,28,46,95,81,2184,93,112,236,68,187,256,516
1459,32,4,174,17,76,89,327,202,194,2506,1813,13711,2656,118,248,323,142,106,119,362,308,2300,142,202,855,4526,1339,269,169,18,29,90,361,57,30,46,99,82,2259,102,117,242,70,195,256,553
1470,32,4,176,17,76,89,334,207,197,2555,1860,14020,2745,119,254,324,145,108,122,379,324,2428,153,207,876,4719,1371,274,170,19,29,93,371,58,32,48,100,82,2346,109,135,279,73,207,262,636
1484,32,5,177,17,76,91,344,224,202,2619,1910,14283,2826,119,261,324,149,113,125,400,333,2576,177,236,903,4915,1423,283,173,19,29,100,382,59,43,53,100,82,2468,119,140,321,74,215,266,710
1495,32,6,180,17,76,93,356,230,208,2684,1986,14643,2945,121,266,330,152,123,126,420,342,2718,187,242,923,5140,1484,290,173,21,29,102,389,63,54,57,100,82,2604,131,145,331,76,228,273,782
1509,32,7,181,31,76,95,368,238,214,2734,2051,15104,3052,125,271,331,153,126,127,435,344,2877,210,273,942,5395,1533,299,173,21,29,106,392,63,55,58,100,83,2743,138,149,340,78,235,275,882
1522,32,7,182,33,76,96,380,243,221,2818,2104,15533,3180,127,282,342,153,128,127,450,355,3057,227,283,963,5573,1588,315,174,21,31,109,398,69,57,59,101,83,2893,143,159,350,80,248,277,966
1532,32,7,182,34,76,96,397,246,226,2874,2150,15864,3261,127,285,364,154,129,131,465,363,3187,236,291,983,5768,1636,327,179,21,123,110,403,75,58,60,102,83,3001,152,166,353,87,254,277,1122
1545,32,7,182,34,76,98,403,249,234,2916,2191,16061,3298,127,290,376,154,131,132,472,369,3288,247,298,991,5891,1662,333,182,21,126,112,410,77,60,60,107,83,3073,155,167,356,92,262,277,1173
1559,32,7,182,34,76,98,406,252,238,2952,2209,16249,3325,127,293,390,154,131,134,475,376,3355,250,302,1001,5992,1692,335,184,21,130,114,418,77,61,60,107,83,3127,160,170,360,93,264,277,1237
1563,32,7,184,35,76,100,416,261,245,2997,2243,16471,3391,128,296,399,154,134,139,484,386,3441,260,311,1026,6176,1728,337,186,21,132,116,421,77,62,60,107,83,3203,172,171,370,93,269,277,1302
1573,32,8,184,36,76,101,431,265,254,3053,2289,16677,3514,128,301,412,154,135,140,492,389,3551,266,317,1061,6353,1776,346,189,21,132,118,426,80,70,61,108,83,3345,173,173,379,93,274,277,1397
1585,33,8,184,37,76,102,443,269,270,3109,2340,17066,3631,128,303,425,154,138,145,500,402,3639,273,324,1091,6545,1809,359,190,21,132,122,428,80,81,62,109,83,3470,178,178,391,94,277,281,1502
1599,33,8,184,39,76,105,450,269,279,3161,2400,17451,3767,128,307,438,154,139,148,511,409,3711,278,331,1113,6696,1862,364,194,21,132,124,429,80,86,63,110,97,3545,188,184,402,97,282,296,1549
1607,33,9,184,40,76,105,452,276,298,3217,2448,17711,3846,128,308,456,155,139,148,512,416,3794,281,337,1119,6843,1899,388,196,21,132,125,431,81,90,65,110,102,3618,193,185,406,103,288,323,1608
1612,33,9,185,41,76,106,456,277,307,3252,2480,17872,3897,129,314,475,155,141,149,516,417,3837,282,346,1138,6914,1923,397,198,21,133,125,431,81,91,67,110,103,3668,196,185,411,113,294,328,1646
1618,33,9,186,42,76,109,463,282,322,3276,2517,18079,3981,132,323,486,155,148,150,520,422,3894,285,354,1164,7099,1948,434,209,21,133,127,431,82,95,68,110,103,3713,197,189,416,120,315,335,1679
1626,33,9,187,42,76,113,476,284,337,3338,2563,18265,4076,135,329,505,155,158,152,523,427,3951,299,361,1202,7286,1997,444,215,22,134,128,433,87,96,68,111,105,3815,201,189,426,130,318,337,1748
1651,33,11,189,43,77,120,479,286,351,3409,2627,18604,4180,137,334,524,156,161,154,532,429,4033,314,366,1243,7418,2031,455,219,22,134,130,438,98,97,71,111,105,3885,205,191,441,134,324,340,1790
1661,33,11,191,43,77,122,490,288,361,3459,2681,18862,4262,137,336,532,157,162,163,533,429,4123,327,373,1281,7584,2070,468,223,22,134,132,441,98,104,71,112,106,3972,212,192,454,137,330,340,1820
1677,33,11,191,43,77,124,498,288,374,3525,2724,19118,4363,138,339,550,161,163,169,538,435,4193,333,384,1306,7718,2103,477,225,22,134,134,443,105,104,71,113,107,4040,216,198,465,138,338,341,1851
1691,33,12,192,43,77,125,503,289,380,3556,2760,19330,4412,139,341,566,163,166,172,539,440,4243,338,391,1319,7839,2127,485,225,22,135,137,444,109,106,71,114,109,4102,220,201,470,138,342,342,1876
1699,33,12,192,43,77,128,507,289,384,3586,2787,19425,4451,139,342,573,164,167,183,543,445,4286,349,401,1326,7899,2135,487,227,22,136,140,445,112,109,74,114,109,4153,222,204,474,140,346,346,1898
1706,33,13,192,44,77,134,512,289,392,3621,2820,19607,4507,139,350,585,171,168,185,548,453,4329,349,415,1343,8018,2158,492,227,22,137,141,446,118,111,74,114,109,4206,223,208,479,140,351,348,1929
1713,33,19,192,46,77,139,524,294,408,3675,2863,19843,4592,139,360,592,177,171,194,549,459,4379,350,423,1374,8137,2186,496,228,22,137,141,446,133,120,75,114,118,4265,225,212,484,143,351,349,1963
1723,35,19,193,46,77,146,532,295,426,3744,2908,20093,4658,140,368,605,190,171,200,551,471,4418,355,428,1401,8231,2208,500,228,22,137,142,447,139,124,75,114,118,4329,227,219,490,144,352,351,1997
1739,35,19,198,46,77,151,538,302,432,3800,2947,20319,4733,141,374,613,206,171,219,551,477,4468,360,436,1422,8337,2234,502,228,22,137,144,449,149,127,78,114,119,4395,233,224,497,144,354,356,2039
1747,35,19,203,46,77,157,542,303,434,3855,2980,20566,4839,142,382,620,211,171,237,555,479,4513,360,441,1439,8427,2254,504,230,22,137,144,450,156,128,78,114,124,4471,235,229,508,144,356,359,2070
1751,35,19,204,46,78,158,544,303,437,3897,3019,20714,4903,142,385,624,222,172,249,555,479,4549,363,444,1448,8489,2267,509,230,22,137,144,450,162,128,78,114,125,4551,235,230,510,145,357,361,2103
1759,35,19,207,46,78,161,545,303,440,3922,3036,20814,4953,142,388,626,228,172,256,555,479,4591,375,450,1452,8542,2275,512,230,22,137,144,450,166,130,78,114,125,4581,235,231,519,145,358,362,2126
1775,35,22,210,46,78,167,549,306,445,3968,3053,20984,5012,143,394,653,232,172,261,558,481,4615,375,452,1474,8656,2296,517,230,22,137,144,450,168,133,79,114,128,4619,235,232,523,147,359,363,2126
1781,35,22,214,46,78,168,555,307,451,4008,3077,21125,5088,144,397,666,236,172,268,562,483,4642,377,454,1493,8752,2303,518,231,22,137,144,451,173,137,83,114,129,4668,237,232,527,150,359,363,2140
1787,35,22,226,47,78,172,559,308,463,4050,3110,21336,5168,144,400,677,238,173,280,563,484,4660,381,458,1512,8826,2316,520,231,22,137,145,451,176,141,85,114,130,4704,237,234,533,151,359,368,2159
